task;task.short_description;Urgency;task.business_duration
INC0401549;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;371
INC0401549;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;371
INC0401549;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;371
INC0401550;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;240
INC0401551;DEV HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (31/03/21 23:18:00)] was greater than or equal to the threshold (20.0).;Not immediate;667344
INC0401551;DEV HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (31/03/21 23:18:00)] was greater than or equal to the threshold (20.0).;Not immediate;667344
INC0401552;DEV WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (31/03/21 23:18:00)] was greater than or equal to the threshold (16.0).;Not immediate;667507
INC0401552;DEV WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (31/03/21 23:18:00)] was greater than or equal to the threshold (16.0).;Not immediate;667507
INC0401553;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;375
INC0401554;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;386
INC0401555;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;379
INC0401556;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;239
INC0401557;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;757
INC0401558;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;238
INC0401559;AQPLCS01.agbar.ga.local:mon_SO_UNIX_FS_pfree_$1_CSGI TRIGGERED EVENT: AQPLCS01.agbar.ga.local /data low free space 85% WITH VALUE:14.9871;Not immediate;9597
INC0401560;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;234
